PS_Code,PS_Name,Region_Name,District_Name,Constituency_Name,Registered_Voters
A00111,METH PRIM KUSA,ASHANTI,ADANSI NORTH,FOMENA,341
A00112,PENTECOST CHURCH DENKYIE,ASHANTI,ADANSI NORTH,FOMENA,172
A00113,COUNCIL HALL FOMENA,ASHANTI,ADANSI NORTH,FOMENA,533
A00114,D/A PRIM SCH FOMENA,ASHANTI,ADANSI NORTH,FOMENA,312
A00115,PRISON CAMP NEW AYAASE,ASHANTI,ADANSI NORTH,FOMENA,338
A00116,SALVATION ARMY CHURCH FOMENA,ASHANTI,ADANSI NORTH,FOMENA,757
A00117,AHMADIYA SNR HIGH SCH FOMENA,ASHANTI,ADANSI NORTH,FOMENA,334
A00118,CHIEF'S PALACE FOMENA,ASHANTI,ADANSI NORTH,FOMENA,484
A00119,CATHOLIC PRIM SCH OLD AYAASE,ASHANTI,ADANSI NORTH,FOMENA,441
A00120,JUNIOR SEC SCH OLD AYAASE,ASHANTI,ADANSI NORTH,FOMENA,457
A00121,D/A PRIM BENA,ASHANTI,ADANSI NORTH,FOMENA,178
A00122,DOMPOASE S.H.S,ASHANTI,ADANSI NORTH,FOMENA,642
A00123,DISTRICT EDUCATION OFFICE DOMPOASE,ASHANTI,ADANSI NORTH,FOMENA,933
A00124,DEMO J H S DOMPOASE,ASHANTI,ADANSI NORTH,FOMENA,251
A00125,MARKET SQUARE DOMPOASE,ASHANTI,ADANSI NORTH,FOMENA,522
A00126,DOABIN D/A J H S DOMPOASE,ASHANTI,ADANSI NORTH,FOMENA,622
A00127,"BUABIN D/A PRIM, DOMPOASE",ASHANTI,ADANSI NORTH,FOMENA,209
A00128,COCOA SHED DOMPOASE,ASHANTI,ADANSI NORTH,FOMENA,325
A00129,DEMO PRIM SCH DOMPOASE,ASHANTI,ADANSI NORTH,FOMENA,191
A00130,D/A PRIM SCH AGOGOOSO,ASHANTI,ADANSI NORTH,FOMENA,412
A00131,D/A PRIMARY SCHOOL AHINSAN,ASHANTI,ADANSI NORTH,FOMENA,401
